dataset_id	decision	reviewer	reviewed_at	rationale
53699541a3a729239d204686	APPROVE	Florian MAILLARD	2026-09-06T22:26:27+02:00	Budget public agrégé; licence et producteur identifiés; aucun identifiant personnel observé dans les fichiers locaux.
53699543a3a729239d20468b	APPROVE	Florian MAILLARD	2026-09-06T22:26:27+02:00	Budget public agrégé; licence et producteur identifiés; aucun identifiant personnel observé dans les fichiers locaux.
53699544a3a729239d20468d	APPROVE	Florian MAILLARD	2026-09-06T22:26:27+02:00	Budget public agrégé; licence et producteur identifiés; aucun identifiant personnel observé dans les fichiers locaux.
53699545a3a729239d20468e	APPROVE	Florian MAILLARD	2026-09-06T22:26:27+02:00	Budget public agrégé; licence et producteur identifiés; aucun identifiant personnel observé dans les fichiers locaux.
53699545a3a729239d20468f	APPROVE	Florian MAILLARD	2026-09-06T22:26:27+02:00	Budget public agrégé; licence et producteur identifiés; aucun identifiant personnel observé dans les fichiers locaux.
53699545a3a729239d204690	APPROVE	Florian MAILLARD	2026-09-06T22:26:27+02:00	Budget public agrégé; licence et producteur identifiés; aucun identifiant personnel observé dans les fichiers locaux.
53699546a3a729239d204691	APPROVE	Florian MAILLARD	2026-09-06T22:26:27+02:00	Budget public agrégé; licence et producteur identifiés; aucun identifiant personnel observé dans les fichiers locaux.
53699546a3a729239d204692	APPROVE	Florian MAILLARD	2026-09-06T22:26:27+02:00	Budget public agrégé; licence et producteur identifiés; aucun identifiant personnel observé dans les fichiers locaux.
53699546a3a729239d204693	APPROVE	Florian MAILLARD	2026-09-06T22:26:27+02:00	Budget public agrégé; licence et producteur identifiés; aucun identifiant personnel observé dans les fichiers locaux.
53699547a3a729239d204694	APPROVE	Florian MAILLARD	2026-09-06T22:26:27+02:00	Budget public agrégé; licence et producteur identifiés; aucun identifiant personnel observé dans les fichiers locaux.
53699547a3a729239d204695	APPROVE	Florian MAILLARD	2026-09-06T22:30:32+02:00	Budget public agrégé; aucun identifiant individuel observé.
53699980a3a729239d20527f	APPROVE	Florian MAILLARD	2026-09-06T22:30:32+02:00	Dotations budgétaires publiques agrégées; aucun identifiant individuel observé.
53699980a3a729239d205280	APPROVE	Florian MAILLARD	2026-09-06T22:30:32+02:00	Emplois budgétaires agrégés; aucun identifiant individuel observé.
53893653a3a7291ffe8c5034	APPROVE	Florian MAILLARD	2026-09-06T22:30:32+02:00	Budget public agrégé par nomenclature administrative; aucun identifiant individuel observé.
555df4eac751df5c8dc98e0f	APPROVE	Florian MAILLARD	2026-09-06T22:30:32+02:00	Budget public agrégé 2012; redistribution sous ODbL avec attribution et partage à l'identique.
555df757c751df5c8dc98e10	APPROVE	Florian MAILLARD	2026-09-06T22:30:32+02:00	Budget public agrégé 2013; redistribution sous ODbL avec attribution et partage à l'identique.
55673898c751df5f9ee5726a	APPROVE	Florian MAILLARD	2026-09-06T22:30:32+02:00	Budget public agrégé 2014; redistribution sous ODbL avec attribution et partage à l'identique.
5889d043a3a72974cbf0d5bb	APPROVE	Florian MAILLARD	2026-09-06T22:30:32+02:00	Missions budgétaires publiques agrégées; aucun identifiant individuel observé.
